site_id,tag,fg_declared,bg_declared,fg_composited,bg_composited,naive_cr,extended_cr,aa_naive,aa_extended,false_pos,false_neg
293,div,"rgb(0, 0, 238)","rgb(255, 249, 214)","rgb(0,0,238)","rgb(255,249,214)",8.85,8.85,1,1,0,0
293,div,"rgb(0, 0, 0)","rgb(74, 75, 59)","rgb(0,0,0)","rgb(74,75,59)",2.36,2.36,0,0,0,0
293,div,"rgb(0, 0, 0)","rgb(91, 68, 60)","rgb(0,0,0)","rgb(91,68,60)",2.34,2.34,0,0,0,0
293,div,"rgb(0, 0, 0)","rgb(199, 141, 96)","rgb(0,0,0)","rgb(199,141,96)",7.41,7.41,1,1,0,0
293,div,"rgb(0, 0, 0)","rgb(65, 63, 90)","rgb(0,0,0)","rgb(65,63,90)",2.08,2.08,0,0,0,0
293,div,"rgb(255, 255, 255)","rgba(61, 177, 255, 0.85)","rgb(255,255,255)","rgb(90,189,255)",2.35,2.07,0,0,0,0
293,div,"rgb(0, 0, 0)","rgb(245, 245, 245)","rgb(0,0,0)","rgb(245,245,245)",19.26,19.26,1,1,0,0
293,button,"rgb(255, 255, 255)","rgb(26, 118, 203)","rgb(255,255,255)","rgb(26,118,203)",4.67,4.67,1,1,0,0
293,button,"rgb(255, 255, 255)","rgb(83, 139, 230)","rgb(255,255,255)","rgb(83,139,230)",3.39,3.39,0,0,0,0
293,div,"rgb(0, 0, 0)","rgb(226, 231, 238)","rgb(0,0,0)","rgb(226,231,238)",16.9,16.9,1,1,0,0
294,div,"rgb(255, 255, 255)","rgb(34, 34, 34)","rgb(255,255,255)","rgb(34,34,34)",15.91,15.91,1,1,0,0
294,div,"rgb(34, 34, 34)","rgb(255, 255, 255)","rgb(34,34,34)","rgb(255,255,255)",15.91,15.91,1,1,0,0
294,div,"rgb(255, 255, 255)","rgb(255, 102, 0)","rgb(255,255,255)","rgb(255,102,0)",2.94,2.94,0,0,0,0
294,div,"rgb(34, 34, 34)","rgb(244, 244, 244)","rgb(34,34,34)","rgb(244,244,244)",14.47,14.47,1,1,0,0
294,div,"rgb(34, 34, 34)","rgb(203, 234, 255)","rgb(34,34,34)","rgb(203,234,255)",12.69,12.69,1,1,0,0
294,div,"rgb(255, 255, 255)","rgb(0, 52, 109)","rgb(255,255,255)","rgb(0,52,109)",12.27,12.27,1,1,0,0
294,a,"rgb(34, 34, 34)","rgb(247, 247, 247)","rgb(34,34,34)","rgb(247,247,247)",14.85,14.85,1,1,0,0
294,a,"rgb(255, 255, 255)","rgb(0, 152, 101)","rgb(255,255,255)","rgb(0,152,101)",3.7,3.7,0,0,0,0
294,div,"rgb(34, 34, 34)","rgb(242, 247, 231)","rgb(34,34,34)","rgb(242,247,231)",14.57,14.57,1,1,0,0
294,div,"rgb(255, 255, 255)","rgb(127, 175, 13)","rgb(255,255,255)","rgb(127,175,13)",2.61,2.61,0,0,0,0
294,div,"rgb(34, 34, 34)","rgb(255, 243, 235)","rgb(34,34,34)","rgb(255,243,235)",14.6,14.6,1,1,0,0
294,span,"rgb(255, 255, 255)","rgb(214, 64, 0)","rgb(255,255,255)","rgb(214,64,0)",4.57,4.57,1,1,0,0
294,div,"rgb(0, 0, 0)","rgb(255, 255, 255)","rgb(0,0,0)","rgb(255,255,255)",21,21,1,1,0,0
294,div,"rgb(118, 118, 118)","rgb(255, 255, 255)","rgb(118,118,118)","rgb(255,255,255)",4.54,4.54,1,1,0,0
